feature,setter,first_chip,first_isa_version,H11,H12,H13,H14,H15,H16,H17,H18,H19,unmapped_isa_versions_seen,evidence_at_first_real
TileDmaSrc2CompressedInfo,SetTileDmaSrc2CompressedInfo,H15,8,n/a,n/a,STUB,STUB,REAL,REAL,REAL,REAL,REAL,10;26;28;31;36,addr=0x20bcd1ea4
TileDmaSrc2CompressedSize,SetTileDmaSrc2CompressedSize,H13,7,n/a,n/a,REAL,REAL,REAL,REAL,REAL,REAL,REAL,10;26;28;31;36,addr=0x20bccd39c
TileDmaSrc2DoubleRateMode,SetTileDmaSrc2DoubleRateMode,H19,24,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,REAL,26;28;31;36,addr=0x20bcf0af0
TileDmaSrc2FIFOMode,SetTileDmaSrc2FIFOMode,H17,19,n/a,n/a,n/a,n/a,n/a,n/a,REAL,REAL,REAL,26;28;31;36,addr=0x20bce57a4
TileDmaSrc2Interleave,SetTileDmaSrc2Interleave,H15,8,n/a,n/a,n/a,n/a,REAL,n/a,n/a,n/a,n/a,10,addr=0x20bcd1c5c
TileDmaSrcCompressed2MdUserTag,SetTileDmaSrcCompressed2MdUserTag,H15,8,NOOP,NOOP,NOOP,NOOP,REAL,REAL,REAL,REAL,REAL,1;4;10;26;28;31;36,addr=0x20bcd35e0
TileDmaSrcCompressedMdUserTag,SetTileDmaSrcCompressedMdUserTag,H14,11,NOOP,NOOP,NOOP,REAL,REAL,REAL,REAL,REAL,REAL,1;4;10;26;28;31;36,addr=0x20bcdc4a8
TileOverlapPadReflect,SetTileOverlapPadReflect,H18,20,n/a,n/a,STUB,STUB,STUB,STUB,STUB,REAL,REAL,10;26;28;31;36,addr=0x20bcece98
TraceEn,SetTraceEn,H17,19,n/a,n/a,n/a,n/a,n/a,n/a,REAL,REAL,REAL,26;28;31;36,addr=0x20bbb9e44
UnicastEn,SetUnicastEn,H11,5,REAL,REAL,REAL,REAL,REAL,REAL,REAL,REAL,REAL,4;10;26;28;31;36,addr=0x20bccaa34
